date,city,olx,otodom
2025-05-17,Cała Polska,0,167273
2025-05-17,Warszawa,967,887
2025-05-17,Kraków,909,1392
2025-05-17,Gdańsk,550,1233
2025-05-17,Poznań,1069,1236
2025-05-17,Wrocław,1485,1691
2025-05-17,Łódź,526,1322
2025-05-17,Katowice,1383,1074
2025-05-17,Lublin,1270,1212
2025-05-17,Sopot,983,1693
2025-05-17,Zakopane,1019,1243
2025-05-18,Cała Polska,48556,167092
2025-05-18,Warszawa,5180,21242
2025-05-18,Kraków,2568,13932
2025-05-18,Gdańsk,1173,8923
2025-05-18,Poznań,1631,8072
2025-05-18,Wrocław,2228,11439
2025-05-18,Łódź,2073,7920
2025-05-18,Katowice,905,4480
2025-05-18,Lublin,1100,3943
2025-05-18,Sopot,89,502
2025-05-18,Zakopane,74,288
2025-05-19,Cała Polska,48395,166834
2025-05-19,Warszawa,5203,21189
2025-05-19,Kraków,2538,13919
2025-05-19,Gdańsk,1171,8902
2025-05-19,Poznań,1608,8068
2025-05-19,Wrocław,2230,11440
2025-05-19,Łódź,2092,7904
2025-05-19,Katowice,907,4476
2025-05-19,Lublin,1107,3949
2025-05-19,Sopot,88,501
2025-05-19,Zakopane,75,289
2025-05-20,Cała Polska,49311,167139
2025-05-20,Warszawa,5269,21415
2025-05-20,Kraków,2626,13932
2025-05-20,Gdańsk,1190,8900
2025-05-20,Poznań,1622,7975
2025-05-20,Wrocław,2255,11431
2025-05-20,Łódź,2131,7966
2025-05-20,Katowice,922,4488
2025-05-20,Lublin,1147,3937
2025-05-20,Sopot,90,508
2025-05-20,Zakopane,78,289
